intersection,lon,lat
HIGHLAND BOULEVARD and VERMONT STREET,-73.8953841,40.6811771
BUSHWICK AVENUE and MARGINAL STREET,-73.8979271,40.6782726
155 AVENUE and 78 STREET,-73.8556951,40.6638719
AMBER STREET and LINDEN BOULEVARD,-73.8582352,40.6702643
BELMONT AVENUE and CONDUIT AVENUE,-73.8646441,40.6751691
CONDUIT AVENUE and ELDERTS LANE,-73.8643533,40.6756912
ELDERTS LANE and NORTH CONDUIT BOULEVARD,-73.8643533,40.6756912
ELDERTS LANE and SOUTH CONDUIT BOULEVARD,-73.8641252,40.6749955
SOUTH CONDUIT BOULEVARD and SUTTER AVENUE,-73.8617682,40.6742431
4 AVENUE and SHORE PARKWAY,-74.0349268,40.611416
DEVOE STREET and UNION STREET,-73.9514737,40.7131045
19 AVENUE and 82 STREET,-73.998086,40.608216
24 AVENUE and 84 STREET,-73.988186,40.600412
STILLWELL AVENUE and WEST 15 STREET,-73.9832722,40.5861976
BEDFORD AVENUE and HERKIMER PLACE,-73.953206,40.679832
PLAZA STREET EAST and ST JOHNS PLACE,-73.9710546,40.6752292
FLATBUSH AVENUE and SAINT MARKS PLACE,-73.97431,40.679735
4 AVENUE and SAINT MARKS AVENUE,-73.9799534,40.6818252
ELLIOT PLACE and HANSON PLACE,-73.9752374,40.6853983
BAYARD STREET and MC GUINNESS BOULEVARD,-73.9450005,40.7207624
EAGLE STREET and MCGUINNESS BOULEVARD,-73.9523876,40.7354038
ENGERT AVENUE and MC GUINNESS BOULEVARD,-73.9456971,40.7215931
HUMBOLDT STREET and MC GUINNESS BOULEVARD,-73.9441827,40.7200109
LOMBARDY STREET and VARICK STREET,-73.9340178,40.7234048
MCGUINESS BOULEVARD and MEEKER AVENUE,-73.9443894,40.7202908
MCGUINNESS BLVD SOUTH and MEEKER AVENUE,-73.9443894,40.7202908
LEONARD STREET and NASSAU STREET,-73.9499174,40.7240458
MCGUINNESS BOULEVARD and NEWTON STREET,-73.9456147,40.7213162
18 STREET and CORTELYOU ROAD,-73.9617419,40.6424292
18 STREET and TENNIS COURT,-73.9628418,40.6483925
9 STREET and HICKS STREET,-74.004764,40.6767136
HOWARD AVENUE and SAINT MARKS PLACE,-73.9195627,40.6735282
EASTERN PARKWAY and STERLING STREET,-73.9171696,40.6706915
EAST 66 STREET and MAYFAIR DRIVE,-73.9084514,40.607897
DUNNE COURT and EAST 12 STREET,-73.958723,40.5903918
DEAN STREET and VANDERBILT STREET,-73.967954,40.680189
EASTERN PARKWAY and PLAZA STREET WEST,-73.9688628,40.6730062
PROSPECT AVENUE and VANDERBILT AVENUE,-73.96886,40.677665
31 AVENUE and STRATTON STREET,-73.8343138,40.7689468
COLLEGE POINT BOULEVARD and HORACE HARDING EXPRESSWAY,-73.8399361,40.7430495
COLLEGE POINT BOULEVARD and HARDING STREET,-73.8399361,40.7430495
COLLEGE POINT BOULEVARD and HORACE HARDING BOULEVARD,-73.8399361,40.7430495
COLLEGE POINT BOULEVARD and HORACE HARDING EXPRESSWAY,-73.8399361,40.7430495
150 DRIVE and 21 AVENUE,-73.814395,40.7798684
BAYSIDE AVENUE and FRANCIS LEWIS BOULEVARD,-73.7973556,40.7738698
26 AVENUE and CLEARVIEW EXPRESSWAY E SVC RD,-73.7842703,40.7777849
33 AVENUE and CLEARVIEW EXPRESSWAY,-73.7832062,40.769571
45 DRIVE and CLEARVIEW EXPRESSWAY E SVC RD,-73.776333,40.7569
CLEARVIEW EXPRESSWAY E SVC RD and NORTHERN,-73.777667,40.7581474
43 AVENUE and CLEARVIEW EXPRESSWAY E SVC RD,-73.7781839,40.7603406
61 AVENUE and LITTLE NECK BOULEVARD,-73.7224672,40.7585168
61 STREET and DOUGLASTON PARKWAY,-73.7393916,40.7557642
HARDING STREET and LITTLE NECK PARKWAY,-73.7242583,40.7645623
BRONX BOULEVARD and EAST 235 STREET,-73.7517192,40.7805339
37 ROAD and JUNCTION BOULEVARD,-73.8708356,40.7515499
111 STREET and SAULTELL AVENUE,-73.8501326,40.7404845
ASTORIA BOULEVARD NORTH and DITMARS,-73.8878977,40.7671854
62 ROAD and WETHEROLE STREET,-73.868031,40.72969
63 ROAD and WETHEROLE STREET,-73.8636794,40.7280088
GRAND CENTRAL PARKWAY and HORACE HARDING EXPRESSWAY,-73.8456608,40.7393211
GRAND CENTRAL PARKWAY and HORACE HARDING EXPRESSWAY,-73.8456608,40.7393211
QUEENS BOULEVARD and UNIONTURNPIKE,-73.8311097,40.7144506
65 AVENUE and QUEENS BOULEVARD,-73.8996139,40.7409503
59 PLACE and 59 ROAD,-73.9083886,40.7181436
53 DRIVE and 71 STREET,-73.8929713,40.7311585
BKLYN QUEENS EXPRESSWAY and HAMILTON AVENUE,-73.8994312,40.7254019
BROOKLYN QUEENS EXPRESSWAY and GRAND AVENUE,-73.896689,40.7251657
69 STREET and MIDTOWN EXPRESSWAY,-73.8946903,40.7249969
75 AVENUE and PENELOPE AVENUE,-73.880344,40.716785
CHARLOTTE STREET and FLUSHING AVENUE,-73.9192584,40.712006
HANCOCK STREET and MYRTLE AVENUE,-73.9036437,40.7004228
FRESH PD ROAD and MENAHAN STREET,-73.899855,40.711281
121 AVENUE and 223 STREET,-73.740965,40.6877647
201 STREET and HOLLIS BOULEVARD,-73.7564563,40.7062206
182 STREET and NORTH CONDUIT AVENUE,-73.762645,40.6661569
89 STREET and NORTH CONDUIT AVENUE,-73.8463297,40.6695468
CROSSBAY BOULEVARD and NORTH CONDUIT AVENUE,-73.8425381,40.6692957
PARK LANE SOUTH and UNION TURNPIKE,-73.835875,40.7116281
100 AVENUE and ROCKAWAY BOULEVARD,-73.8395218,40.6799557
75 STREET and PITKIN AVENUE,-73.861712,40.676611
78 STREET and SOUTH CONDUIT AVENUE,-73.8582638,40.674145
80 STREET and SOUTH CONDUIT AVENUE,-73.856487,40.673377
LINDEN BOULEVARD and NORTH CONDUIT AVENUE,-73.8508883,40.6717057
PITKIN AVENUE and SUTTER AVENUE,-73.8531903,40.675447
NORTH CONDUIT AVENUE and SUTTER AVENUE,-73.859593,40.674556
NORTH CONDUIT BOULEVARD and SUTTER AVENUE,-73.859593,40.674556
91 AVENUE and VANWYCK EXPRESSWAY,-73.8152302,40.6994809
91 AVENUE and VANWYCK EXPRESSWAY,-73.8152302,40.6994809
JAMAICA AVENUE and VANWYCK EXPRESSWAY,-73.8168396,40.7024336
JAMAICA AVENUE and VANWYCK EXPRESSWAY,-73.8168396,40.7024336
102 AVENUE and VANWYCK EXPRESSWAY,-73.8117359,40.6932252
102 AVENUE and VANWYCK EXPRESSWAY,-73.8117359,40.6932252
107 AVENUE and VANWYCK EXPRESSWAY,-73.8090637,40.6884162
107 AVENUE and VANWYCK EXPRESSWAY,-73.8090637,40.6884162
95 AVENUE and VANWYCK EXPRESSWAY,-73.813443,40.696282
95 AVENUE and VANWYCK EXPRESSWAY,-73.813443,40.696282
97 AVENUE and VANWYCK EXPRESSWAY,-73.8127924,40.6950961
97 AVENUE and VANWYCK EXPRESSWAY,-73.8127924,40.6950961
109 AVENUE and VANWYCK EXPRESSWAY,-73.8082575,40.6869664
135 STREET and LEFFERTS BOULEVARD,-73.8208431,40.6705583
91 STREET and WOODHAVEN BOULEVARD,-73.8501142,40.6898288
PARK LANE and WOODHAVEN BOULEVARD,-73.8528728,40.6975283
LAURELTON PARKWAY and NORTH CONDUIT BOULEVARD,-73.740974,40.6661202
77 STREET and GRAND CENTRAL PARKWAY EB,-73.7771116,40.7215923
LINDEN BOULEVARD and SERVICE ROAD,-73.7272675,40.6907755
84 ROAD and CROSS ISLAND PARKWAY,-73.7231916,40.7338175
88 AVENUE and CROSS ISLAND PARKWAY,-73.7231414,40.7296211
88 ROAD and CROSS IS PARKWAY,-73.7240226,40.729047
CROSS IS PARKWAY and HILLSIDE AVENUE,-73.7224265,40.7351303
221 PLACE and 90 STREET,-73.739311,40.7281603
168 STREET and GRAND CENTRAL PARKWAY N SVC RD,-73.7912647,40.7198636
